Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	sigma2	theta
0	-9.971936	-10.59867	0.6267305	0.02887186	0	1	0.01743893	3.288402
10	-9.965123	-7.630354	-2.334769	0.08530978	0	1	0.02269205	3.221492
20	-11.92652	-9.089512	-2.83701	0.08422364	0	1	0.03949528	3.204288
30	-10.93387	-9.130645	-1.803227	0.07144634	0	1	0.02587447	3.023709
40	-11.69383	-7.679129	-4.014703	0.1119253	0	1	0.03410725	3.128713
50	-10.07328	-9.163833	-0.9094448	0.06337705	0	1	0.01556854	3.075693
60	-11.92302	-8.771226	-3.151794	0.09480656	0	1	0.03262296	3.327413
70	-9.833623	-8.981845	-0.8517783	0.05292693	0	1	0.02422018	3.185766
80	-9.980831	-10.69168	0.7108445	0.0349971	0	1	0.01196224	3.237786
90	-10.80985	-10.89722	0.08736567	0.03913959	0	1	0.01830527	3.374297
100	-9.226615	-8.63084	-0.595775	0.05584061	0	1	0.01631174	3.183846
110	-10.94191	-11.49449	0.552575	0.03284021	0	1	0.01553571	2.94737
120	-10.43525	-7.432711	-3.002536	0.09962809	0	1	0.0223148	3.20715
130	-10.97554	-10.90903	-0.06650999	0.03459526	0	1	0.02653118	3.074851
140	-13.25425	-8.106042	-5.148204	0.1375005	0	1	0.03119661	3.306921
150	-11.76243	-9.196986	-2.565447	0.07968988	0	1	0.03738874	3.247632
160	-10.60493	-10.94353	0.3385971	0.04110185	0	1	0.0129636	3.014574
170	-10.43859	-10.17819	-0.2603997	0.03974968	0	1	0.02517338	3.229303
180	-12.46884	-9.211956	-3.256888	0.09100688	0	1	0.04345674	3.186357
190	-9.400042	-8.076005	-1.324037	0.06833158	0	1	0.01859659	3.195349
200	-10.64575	-9.220885	-1.424867	0.06960755	0	1	0.0193522	3.329015
210	-12.0477	-9.607406	-2.440298	0.07589788	0	1	0.03954774	3.142878
220	-10.23527	-10.6484	0.4131314	0.04215375	0	1	0.01144235	3.225432
230	-9.429181	-9.452417	0.02323515	0.04628774	0	1	0.01386794	3.129205
240	-11.66041	-9.27587	-2.384542	0.08911295	0	1	0.01988497	3.334779
250	-11.40893	-11.58333	0.1743994	0.02925873	0	1	0.02691115	3.04647
260	-12.88674	-14.5001	1.613366	0.009000893	0	1	0.01681149	3.476253
270	-10.80296	-11.44195	0.6389898	0.03003367	0	1	0.0162957	3.369269
280	-9.582848	-7.99643	-1.586418	0.06968545	0	1	0.02266071	3.167245
290	-10.19378	-8.417201	-1.77658	0.07153021	0	1	0.02509329	3.268591
300	-10.37665	-12.14958	1.772932	0.006888667	0	1	0.0158549	3.109748
310	-12.44848	-8.725601	-3.722876	0.1013825	0	1	0.04217032	3.251131
320	-9.938013	-8.069838	-1.868176	0.07865999	0	1	0.01955702	3.11316
330	-11.78419	-11.82493	0.04074863	0.04511857	0	1	0.01441057	3.396118
340	-10.34078	-7.702646	-2.638138	0.09007623	0	1	0.02447149	3.120714
350	-9.486235	-10.59748	1.111244	0.0230001	0	1	0.01422369	3.169454
360	-10.04371	-11.57102	1.527311	0.0122379	0	1	0.01569532	3.207579
370	-10.37682	-10.14978	-0.2270429	0.05309843	0	1	0.01286167	3.268354
380	-10.13421	-9.941723	-0.1924868	0.04894438	0	1	0.01515443	3.030572
390	-9.954363	-7.750908	-2.203456	0.08229257	0	1	0.02298744	3.232571
400	-9.421024	-9.843394	0.4223704	0.03327023	0	1	0.01733603	3.11021
410	-10.03791	-8.773131	-1.26478	0.0658971	0	1	0.01968996	3.293898
420	-9.236171	-9.040458	-0.1957129	0.04880776	0	1	0.01530303	3.140579
430	-11.2231	-9.950611	-1.272486	0.06372482	0	1	0.02201375	3.376565
440	-11.14457	-11.15996	0.01539223	0.03678633	0	1	0.02201375	2.94717
450	-9.832864	-9.115961	-0.7169029	0.05171191	0	1	0.02242998	3.084075
460	-10.12186	-10.40909	0.2872303	0.03123241	0	1	0.02187515	3.105408
470	-9.253855	-9.1743	-0.07955516	0.04729318	0	1	0.01464797	3.159891
480	-11.04803	-11.61812	0.5700908	0.03529162	0	1	0.01357769	2.964562
490	-9.963037	-8.959247	-1.00379	0.06279941	0	1	0.01758794	3.287748
500	-10.19857	-10.17306	-0.02551406	0.03607626	0	1	0.0237248	3.149222
510	-10.73365	-9.319618	-1.414027	0.0600909	0	1	0.03017276	3.134179
520	-9.354901	-9.784749	0.4298477	0.03572692	0	1	0.01530011	3.101545
530	-10.75827	-11.37546	0.6171826	0.02656627	0	1	0.01965789	3.344413
540	-12.61024	-11.67016	-0.9400877	0.07067386	0	1	0.01132541	3.278516
550	-11.73092	-12.54041	0.8094906	0.01825076	0	1	0.02413635	2.991932
560	-10.18747	-10.87943	0.6919617	0.02510046	0	1	0.01956568	3.264586
570	-10.60301	-9.275889	-1.327119	0.06849015	0	1	0.0185131	3.325242
580	-9.672741	-7.759028	-1.913713	0.07678548	0	1	0.02238718	3.165235
590	-12.25015	-8.557301	-3.69285	0.1038606	0	1	0.03635084	3.308443
600	-15.55414	-7.503453	-8.050689	0.1909595	0	1	0.0441248	3.153722
610	-11.42526	-10.0472	-1.378054	0.06454954	0	1	0.02351895	2.966184
