Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	sigma2	theta
0	-10.61778	-11.08123	0.4634493	0.02224684	0	1	0.02715226	2.92999
10	-9.745565	-8.388946	-1.356619	0.06017771	0	1	0.01805837	3.347703
20	-8.155604	-9.926355	1.770751	0.01177843	0	1	0.01358593	3.03142
30	-9.880997	-10.35726	0.4762674	0.0384774	0	1	0.01033276	3.472829
40	-7.860774	-9.938679	2.077905	0.00487882	0	1	0.01498632	3.188454
50	-13.36589	-7.814755	-5.551137	0.1194184	0	1	0.03691242	3.568026
60	-13.65903	-8.407428	-5.251606	0.1194184	0	1	0.02735821	3.576321
70	-13.94476	-10.1056	-3.839158	0.09878066	0	1	0.02239312	3.657994
80	-9.363612	-8.482626	-0.880986	0.05362723	0	1	0.01648956	3.334128
90	-9.11299	-9.481897	0.3689069	0.02540375	0	1	0.02479341	3.376072
100	-8.329813	-9.829448	1.499634	0.0106201	0	1	0.01907136	3.238222
110	-8.642782	-10.53994	1.897162	0.006461117	0	1	0.0163617	2.989747
120	-7.520534	-8.994227	1.473693	0.01654921	0	1	0.01381665	3.249979
130	-9.258553	-10.41054	1.151984	0.02831926	0	1	0.009547259	3.16039
140	-7.902355	-10.13734	2.234981	0.006421992	0	1	0.01169804	3.394557
150	-9.479303	-11.63863	2.159327	0.001039448	0	1	0.01730901	3.561143
160	-8.354369	-8.375331	0.02096196	0.0394214	0	1	0.01541248	3.343048
170	-7.627977	-9.214604	1.586627	0.01358379	0	1	0.01468929	3.19963
180	-7.943581	-9.114577	1.170996	0.0204091	0	1	0.01490737	3.132956
190	-10.72693	-11.59118	0.8642533	0.01243703	0	1	0.03235758	3.196731
200	-11.40116	-11.83562	0.4344589	0.02600608	0	1	0.02241313	2.828744
210	-8.324664	-9.43065	1.105986	0.02435536	0	1	0.01261741	3.114727
220	-9.53181	-9.891133	0.359323	0.02388699	0	1	0.02736461	3.35973
230	-8.284284	-8.333828	0.04954417	0.03624875	0	1	0.01804638	3.34312
240	-9.376691	-11.08649	1.709802	0.008319089	0	1	0.01769306	3.5696
250	-7.71514	-9.100968	1.385828	0.01594631	0	1	0.01562936	3.211315
260	-7.482632	-9.582703	2.100071	0.0078438	0	1	0.01231503	3.252929
270	-12.94204	-14.41673	1.474689	0.02401185	0	1	0.00890445	3.66173
280	-7.605409	-9.374476	1.769067	0.01107903	0	1	0.01417952	3.189837
290	-7.801237	-9.51297	1.711733	0.01799547	0	1	0.01000302	3.299696
300	-12.51137	-10.9272	-1.584167	0	1	0	0.01323303	3.455004
310	-7.95849	-9.31064	1.35215	0.02346145	0	1	0.01039597	3.294255
320	-8.455672	-10.99007	2.534393	0.001630016	0	1	0.01148995	2.987113
330	-8.622868	-9.171685	0.5488179	0.02520368	0	1	0.02095586	3.166429
340	-7.81541	-9.638563	1.823153	0.00855293	0	1	0.01558154	3.257599
350	-8.460328	-9.565721	1.105392	0.02077298	0	1	0.01558154	3.486512
360	-8.864116	-10.87869	2.014572	0.0135828	0	1	0.009575726	3.015182
370	-7.887434	-10.36052	2.473082	0.004295512	0	1	0.01044604	3.371325
380	-7.762795	-9.701931	1.939136	0.01047974	0	1	0.0123905	3.095583
390	-9.633051	-12.53051	2.89746	0.003032093	0	1	0.00735995	3.001981
400	-8.503477	-9.285728	0.7822506	0.02149717	0	1	0.02062888	3.370725
410	-8.006702	-8.856272	0.8495697	0.02887081	0	1	0.0125068	3.363611
420	-8.525821	-10.49235	1.966526	0.01637454	0	1	0.008527537	3.364883
430	-10.65139	-12.71575	2.064366	0.01431401	0	1	0.008727586	2.91869
440	-8.299432	-11.02269	2.72326	0.002343237	0	1	0.009122227	3.399263
450	-13.4406	-10.59317	-2.847428	0.06857922	0	1	0.04895711	3.705962
460	-7.579841	-9.630059	2.050218	0.01079935	0	1	0.01088162	3.316564
470	-11.79977	-10.38891	-1.410859	0	1	0	0.01112738	3.161652
480	-8.212707	-8.790703	0.5779959	0.02635304	0	1	0.01902456	3.233171
490	-8.80293	-8.785211	-0.01771928	0.0356175	0	1	0.02003109	3.474214
500	-8.170825	-9.209807	1.038982	0.0248782	0	1	0.01308375	3.436183
510	-10.42841	-12.17263	1.744221	0.01532879	0	1	0.01132518	3.638479
520	-10.8278	-9.425493	-1.402303	0.05004071	0	1	0.03428483	3.228726
530	-10.06981	-8.772409	-1.297397	0.04977625	0	1	0.03135366	3.409966
540	-7.666947	-9.968436	2.30149	0.003341286	0	1	0.01311639	3.203671
