Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	sigma2	theta
0	-33.60355	-30.26161	-3.341931	0.05103861	0	1	0.03364434	2.463449
10	-34.64066	-29.01018	-5.63048	0.07231424	0	1	0.03342743	2.772706
20	-31.94234	-31.31858	-0.6237579	0.02920174	0	1	0.02341153	2.491505
30	-33.62705	-28.88467	-4.742389	0.06333973	0	1	0.03621134	2.648462
40	-32.92339	-28.8547	-4.068687	0.05845927	0	1	0.03125342	2.600555
50	-33.98372	-29.71747	-4.266245	0.05845927	0	1	0.03807991	2.545447
60	-33.82073	-28.8922	-4.928531	0.0681561	0	1	0.02594477	2.597597
70	-33.61812	-35.22689	1.608768	0.007700216	0	1	0.02553592	2.133704
80	-32.55507	-34.60307	2.048004	0.005220001	0	1	0.02150731	2.370949
90	-32.69613	-30.63541	-2.06072	0.0399862	0	1	0.03077997	2.658362
100	-32.36744	-34.30047	1.933028	0.007355567	0	1	0.01916343	2.322138
110	-33.08768	-28.74782	-4.339859	0.06227358	0	1	0.02716282	2.645569
120	-33.05267	-34.72605	1.673386	0.01164676	0	1	0.01563876	2.40246
130	-32.56926	-30.9768	-1.592461	0.03958121	0	1	0.02013161	2.620456
140	-33.0342	-32.32198	-0.712218	0.0290304	0	1	0.02605401	2.794164
150	-32.39232	-31.82943	-0.562885	0.0290304	0	1	0.02243985	2.382286
160	-32.45459	-29.76714	-2.687445	0.04620947	0	1	0.02943784	2.643712
170	-32.32117	-30.82185	-1.499322	0.03695519	0	1	0.02434737	2.452148
180	-32.64414	-31.75998	-0.8841513	0.0298396	0	1	0.02835535	2.431083
190	-32.03869	-30.82326	-1.215425	0.03416335	0	1	0.02477127	2.499024
200	-32.94282	-32.31612	-0.6266944	0.02724847	0	1	0.02898753	2.389006
210	-32.09538	-31.71178	-0.3836003	0.02846286	0	1	0.01994095	2.527178
220	-33.89456	-31.95194	-1.942621	0.0376911	0	1	0.0350347	2.427276
230	-34.00053	-30.85272	-3.147813	0.05099526	0	1	0.02783801	2.387986
240	-33.67924	-30.55292	-3.126319	0.05329839	0	1	0.02125238	2.528429
250	-32.87036	-33.12993	0.2595737	0.02017885	0	1	0.02561563	2.283437
260	-33.19219	-31.87181	-1.320384	0.03374754	0	1	0.02877471	2.351958
270	-32.2481	-30.55937	-1.688729	0.0388706	0	1	0.02393193	2.483826
280	-33.40674	-32.55285	-0.8538937	0.03079879	0	1	0.0248061	2.844969
290	-33.13532	-30.15725	-2.978068	0.04847703	0	1	0.03082423	2.465856
300	-32.96869	-30.24373	-2.724959	0.04847703	0	1	0.02393141	2.738453
310	-32.74149	-30.50054	-2.240947	0.0439546	0	1	0.02402313	2.457673
320	-33.85572	-32.72779	-1.127928	0.03054699	0	1	0.03352482	2.727683
330	-33.15551	-35.49483	2.339315	0.005363008	0	1	0.01582603	2.236867
340	-33.02029	-33.64893	0.6286396	0.01947645	0	1	0.01910413	2.248232
350	-32.36825	-30.42558	-1.94267	0.03943482	0	1	0.02902891	2.551057
360	-33.38075	-35.57933	2.198584	0.007226821	0	1	0.01489963	2.343697
370	-33.67876	-32.32275	-1.356009	0.0350012	0	1	0.02604663	2.284452
380	-32.93604	-32.43097	-0.505068	0.02602409	0	1	0.02929201	2.413591
390	-32.38344	-31.27321	-1.110228	0.03413917	0	1	0.022356	2.4305
400	-32.87442	-34.54203	1.667605	0.007598759	0	1	0.02434177	2.446359
410	-32.55269	-34.37338	1.820688	0.007106579	0	1	0.02202555	2.311287
420	-32.03446	-32.45767	0.4232148	0.01973401	0	1	0.02281794	2.55079
430	-32.39338	-31.44643	-0.9469469	0.03384867	0	1	0.01959257	2.534041
440	-32.6634	-32.42106	-0.2423402	0.02405554	0	1	0.02785284	2.429361
450	-32.44867	-29.63852	-2.810144	0.04730716	0	1	0.02956443	2.591004
460	-33.90613	-31.54069	-2.365446	0.04172579	0	1	0.03460297	2.775391
470	-34.88995	-32.36011	-2.529838	0.04172579	0	1	0.0407857	2.482133
480	-33.35308	-29.76797	-3.585109	0.05526183	0	1	0.02720666	2.762237
490	-36.59726	-29.06843	-7.528828	0.08594282	0	1	0.05129541	2.654989
