Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
0	53	0.000000	0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Abyssosaurus_nataliae,Albertonectes_vanderveldei,Archaeonectrus_rostratus,Aristonectes_quiriquinensis,Attenborosaurus_conybeari,Atychodracon_megacephalus,Brachauchenius_lucasi,Brancasaurus_brancai,Callawayasaurus_colombiensis,Colymbosaurus_megadeirus,Cryptoclidus_eurymerus,Dolichorhynchops_bonneri,Dolichorhynchops_osborni,Edgarosaurus_muddi,Eoplesiosaurus_antiquior,Hauffiosaurus_tomistomimus,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Kronosaurus_MCZ_1285,Libonectes_morgani,Liopleurodon_ferox,Luskhan_itilensis,Macroplata_tenuiceps,Manemergus_anguirostris,Mauriciosaurus_fernandezi,Meyerasaurus_victor,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_tournemirensis,Muraenosaurus_leedsii,Nakonanectes_bradti,Nichollssaura_borealis,Ophthalmothule_cryostea,Peloneustes_philarchus,Plesiopterys_wildi,Plesiosaurus_dolichodeirus,Polycotylus_latipinnis,Rhomaleosaurus_cramptoni,Rhomaleosaurus_zetlandicus,Sachicasaurus_vitae,Seeleyosaurus_guilelmiimperatoris,Simolestes_vorax,Stenorhynchosaurus_munozi,Styxosaurus_SDSM_451,Styxosaurus_browni,Styxosaurus_rezaci,Thalassiodracon_hawkinsii,Thalassomedon_haningtoni,Thaumatodracon_wiedenrothi,Thililua_longicollis,Tricleidus_seeleyi,Trinacromerum_bentonianum,Vegasaurus_molyi	
1	7	5.025693	74	7.400000	1.803947	1.032403	1.000000	4.430461	0.000929	0.000506	0.000549	0.001957	0.002792	0.002475	0.002691	0.000909	0.004667	0.002544	0.002759	0.009833	Archaeonectrus_rostratus,Atychodracon_megacephalus,Macroplata_tenuiceps,Meyerasaurus_victor,Rhomaleosaurus_cramptoni,Rhomaleosaurus_zetlandicus,Thaumatodracon_wiedenrothi	
2	6	6.777172	59	5.900000	1.260825	1.010718	1.000000	2.160256	0.000691	0.000500	0.000540	0.001238	0.003765	0.003338	0.003629	0.001226	0.004681	0.003387	0.003656	0.008392	Archaeonectrus_rostratus,Atychodracon_megacephalus,Meyerasaurus_victor,Rhomaleosaurus_cramptoni,Rhomaleosaurus_zetlandicus,Thaumatodracon_wiedenrothi	
3	5	1.210326	99	9.900000	1.385654	0.999404	1.000000	2.417431	0.000783	0.000486	0.000540	0.001562	0.000672	0.000596	0.000648	0.000219	0.000947	0.000588	0.000654	0.001890	Archaeonectrus_rostratus,Meyerasaurus_victor,Rhomaleosaurus_cramptoni,Rhomaleosaurus_zetlandicus,Thaumatodracon_wiedenrothi	
4	4	7.721971	96	9.600000	1.155643	0.990881	1.000000	1.433882	0.000640	0.000489	0.000532	0.000850	0.004290	0.003803	0.004135	0.001397	0.004938	0.003772	0.004104	0.006564	Meyerasaurus_victor,Rhomaleosaurus_cramptoni,Rhomaleosaurus_zetlandicus,Thaumatodracon_wiedenrothi	
5	1	14.229839	96	9.600000	1.130646	0.989649	1.000000	1.352716	0.000632	0.000483	0.000528	0.000844	0.007905	0.007008	0.007620	0.002574	0.008999	0.006880	0.007513	0.012014	Meyerasaurus_victor	
6	3	2.162489	128	12.800000	1.328284	0.998463	1.000000	2.385511	0.000749	0.000491	0.000532	0.001566	0.001201	0.001065	0.001158	0.000391	0.001619	0.001061	0.001152	0.003385	Rhomaleosaurus_cramptoni,Rhomaleosaurus_zetlandicus,Thaumatodracon_wiedenrothi	
7	1	2.658511	128	12.800000	1.268756	0.968517	1.000000	2.239113	0.000672	0.000490	0.000535	0.000842	0.001477	0.001309	0.001424	0.000481	0.001787	0.001304	0.001422	0.002238	Thaumatodracon_wiedenrothi	
8	2	17.075027	136	13.600000	1.236758	0.986368	1.000000	2.112286	0.000723	0.000473	0.000530	0.001880	0.009485	0.008410	0.009144	0.003089	0.012345	0.008084	0.009041	0.032107	Rhomaleosaurus_cramptoni,Rhomaleosaurus_zetlandicus	
9	1	1.329478	140	14.000000	1.337821	1.000144	1.000000	2.344007	0.000748	0.000480	0.000537	0.001420	0.000739	0.000655	0.000712	0.000241	0.000994	0.000638	0.000713	0.001888	Rhomaleosaurus_zetlandicus	
10	1	1.486994	134	13.400000	1.284049	0.985425	1.000000	2.025424	0.000729	0.000499	0.000534	0.001443	0.000826	0.000732	0.000796	0.000269	0.001084	0.000742	0.000793	0.002146	Rhomaleosaurus_cramptoni	
11	1	4.555255	72	7.200000	1.165550	0.997670	1.000000	1.418156	0.000636	0.000491	0.000535	0.000739	0.002530	0.002244	0.002439	0.000824	0.002896	0.002237	0.002439	0.003367	Archaeonectrus_rostratus	
12	1	5.291787	61	6.100000	1.184392	0.983019	1.000000	1.694537	0.000652	0.000483	0.000538	0.000944	0.002940	0.002606	0.002834	0.000957	0.003451	0.002554	0.002844	0.004996	Atychodracon_megacephalus	
13	1	11.538208	35	3.500000	1.169877	1.012135	1.000000	1.740099	0.000663	0.000497	0.000539	0.001274	0.006409	0.005683	0.006179	0.002087	0.007649	0.005731	0.006219	0.014702	Macroplata_tenuiceps	
14	46	12.061642	90	9.000000	1.645753	1.028749	1.000000	3.331756	0.000818	0.000495	0.000558	0.001464	0.006700	0.005941	0.006459	0.002182	0.009861	0.005968	0.006730	0.017653	Abyssosaurus_nataliae,Albertonectes_vanderveldei,Aristonectes_quiriquinensis,Attenborosaurus_conybeari,Brachauchenius_lucasi,Brancasaurus_brancai,Callawayasaurus_colombiensis,Colymbosaurus_megadeirus,Cryptoclidus_eurymerus,Dolichorhynchops_bonneri,Dolichorhynchops_osborni,Edgarosaurus_muddi,Eoplesiosaurus_antiquior,Hauffiosaurus_tomistomimus,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Kronosaurus_MCZ_1285,Libonectes_morgani,Liopleurodon_ferox,Luskhan_itilensis,Manemergus_anguirostris,Mauriciosaurus_fernandezi,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_tournemirensis,Muraenosaurus_leedsii,Nakonanectes_bradti,Nichollssaura_borealis,Ophthalmothule_cryostea,Peloneustes_philarchus,Plesiopterys_wildi,Plesiosaurus_dolichodeirus,Polycotylus_latipinnis,Sachicasaurus_vitae,Seeleyosaurus_guilelmiimperatoris,Simolestes_vorax,Stenorhynchosaurus_munozi,Styxosaurus_SDSM_451,Styxosaurus_browni,Styxosaurus_rezaci,Thalassiodracon_hawkinsii,Thalassomedon_haningtoni,Thililua_longicollis,Tricleidus_seeleyi,Trinacromerum_bentonianum,Vegasaurus_molyi	
