Options:
Model:                           Independent Contrasts
Tree File Name:                  tree_28.nex
Data File Name:                  neck.txt
Log File Name:                   neck_28.log.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1818741747
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   10000
Iterations:                      12000000
Burn in:                         2000000
MCMC ML Start:                   False
Schedule File:                   neck_28.log.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Estimate
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local LandscapeBL:            False
Restrictions:
    Alpha-1                      None
    Sigma-1                      None
Prior Information:
    Priors
        Alpha-1 - uniform -100.00 100.00 
        Sigma-1 - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
        Lambda - uniform 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       53
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1	Lambda	No RJ Local Branch	No RJ Local Node	
2010000	43.181194	1	0.046587147765	0.000628521540	0.980223402204	5	0	
2020000	40.018850	1	0.007022127659	0.000488477724	0.996635935626	4	1	
2030000	48.444066	1	-0.030402646144	0.000375711802	0.996460230016	6	1	
2040000	38.728502	1	0.098989898631	0.000756043112	0.983998296482	4	1	
2050000	42.909332	1	-0.088388506759	0.000547358700	0.989886297832	4	0	
2060000	41.533574	1	-0.002782005201	0.000548076710	0.921082122160	4	0	
2070000	46.409365	1	-0.041825001115	0.000309835570	0.968965820616	2	1	
2080000	49.014111	1	-0.041709628315	0.000262717543	0.998902150163	7	2	
2090000	41.304662	1	-0.113854713327	0.000465367363	0.957953279359	2	2	
2100000	39.042369	1	0.017611309675	0.000579995259	0.941683004225	6	0	
2110000	37.831916	1	-0.019132975131	0.000540958339	0.895450537705	3	0	
2120000	42.871707	1	-0.040095512125	0.000511565411	0.986381980052	2	1	
2130000	40.500543	1	0.056965723915	0.000637716667	0.945118840449	2	0	
2140000	44.628881	1	-0.001094876211	0.000472505064	0.977248557419	3	0	
2150000	43.160182	1	0.030804414749	0.000510155518	0.970506761142	6	1	
2160000	40.663463	1	-0.161198635694	0.000324901077	0.892534244193	4	1	
2170000	45.910806	1	0.018020535566	0.000417154904	0.939758219429	3	2	
2180000	46.824813	1	-0.024289629437	0.000366417988	0.952179773538	10	3	
2190000	42.140779	1	-0.039322857461	0.000239873591	0.822669796375	5	3	
2200000	45.799199	1	-0.092979341141	0.000389796989	0.957694809618	4	2	
2210000	43.264596	1	-0.166758984442	0.000584731451	0.995844128914	5	1	
2220000	44.698090	1	-0.036956370982	0.000557985192	0.947580187545	4	1	
2230000	42.780520	1	-0.053030413573	0.000566009810	0.994994435321	2	2	
2240000	39.141987	1	-0.122532255750	0.000425137605	0.992896915324	5	1	
2250000	42.975722	1	-0.007993067134	0.000468957665	0.957147731037	4	1	
2260000	44.447925	1	-0.000017819655	0.000503053972	0.963887583466	8	0	
2270000	38.413715	1	0.085548739484	0.000704497191	0.970638539755	4	1	
2280000	44.551639	1	-0.088014404588	0.000378497221	0.925656856915	6	0	
2290000	44.977970	1	-0.028464607041	0.000475254245	0.979936302972	2	2	
2300000	38.789090	1	-0.192630313985	0.000540858313	0.960494565401	5	0	
2310000	43.114585	1	-0.035505757557	0.000452440916	0.997399787531	2	2	
2320000	47.125725	1	0.152634706793	0.000311623978	0.997899130953	9	3	
2330000	40.061868	1	0.122691896971	0.000440361436	0.943500054561	5	0	
2340000	45.199980	1	0.060838674351	0.000568522390	0.987884818471	5	1	
2350000	46.181383	1	-0.054901388128	0.000386836900	0.933162306585	4	1	
2360000	41.601020	1	0.003992682474	0.000397388571	0.944886379985	4	4	
2370000	41.233686	1	-0.122073112527	0.000341268533	0.976188703500	4	3	
2380000	43.590557	1	-0.038568327195	0.000496099052	0.984923898698	6	2	
2390000	41.328579	1	-0.112877446757	0.000656617353	0.995145179120	4	1	
2400000	39.177178	1	-0.174774984263	0.000404619673	0.997412955841	6	0	
2410000	46.036979	1	-0.000656697160	0.000574793301	0.995853769977	8	0	
2420000	41.774179	1	-0.055127463904	0.000407722155	0.946382634879	6	0	
2430000	43.673952	1	0.011990131649	0.000747331922	0.991841336840	4	0	
2440000	38.460558	1	0.041327859341	0.000293166926	0.927542989049	5	2	
2450000	43.622721	1	-0.006090100645	0.000202793581	0.775512717425	6	1	
2460000	37.680120	1	-0.179391005658	0.000444080229	0.923389470415	3	1	
2470000	34.129087	1	-0.109121638661	0.000943871100	0.933353372823	3	1	
2480000	43.057641	1	-0.000587353588	0.000594931933	0.998021290696	4	1	
2490000	44.841422	1	0.032512459690	0.000502752834	0.972564073938	3	2	
2500000	38.125113	1	-0.179224612417	0.000824414608	0.991791654518	3	2	
2510000	39.713330	1	0.013979029926	0.000310860798	0.903318931312	5	1	
2520000	40.926701	1	0.131334106874	0.000595635333	0.975548366513	2	2	
2530000	44.264839	1	0.009572337707	0.000476123833	0.972233261391	5	1	
2540000	42.267433	1	-0.099077431428	0.000735447714	0.965988023762	3	1	
2550000	44.090336	1	0.019186367212	0.000336375271	0.920001768813	4	2	
2560000	45.304190	1	-0.027447692579	0.000487939054	0.988717423881	6	1	
2570000	40.675712	1	0.109790486927	0.000502818281	0.972657155027	3	2	
2580000	46.656185	1	-0.016702522507	0.000378317735	0.970883261630	6	1	
2590000	42.266363	1	-0.146591407480	0.000478129822	0.989756234769	6	3	
2600000	42.528634	1	-0.050496130724	0.000420268643	0.910338999934	8	0	
2610000	44.617858	1	-0.040078672232	0.000526535785	0.976469866834	4	1	
2620000	42.912788	1	-0.073528192400	0.000270837124	0.937190299234	8	0	
2630000	42.379323	1	0.004117540769	0.000317319188	0.994098026608	5	2	
2640000	45.661829	1	-0.000237759457	0.000509795101	0.990716632927	5	2	
2650000	44.602157	1	-0.035156426701	0.000432256434	0.977065360180	5	0	
2660000	45.537317	1	-0.012282441976	0.000400148557	0.979331559130	3	1	
2670000	40.607671	1	-0.137893186687	0.000374824296	0.987016141997	4	1	
2680000	40.551554	1	-0.026464828350	0.000407787690	0.969151732760	5	0	
2690000	37.741000	1	0.102888138636	0.000435658859	0.919835935926	5	0	
2700000	43.531090	1	-0.001019399188	0.000537663346	0.979608999327	2	0	
2710000	45.129748	1	-0.068085211099	0.000508050511	0.976327050112	3	0	
2720000	45.538771	1	-0.026945343689	0.000492736981	0.992671738695	3	0	
2730000	43.658273	1	0.161073675440	0.000644601792	0.995775432865	5	1	
2740000	42.516851	1	-0.132866242207	0.000574388797	0.995441468234	3	0	
2750000	44.041261	1	0.001680903567	0.000265158695	0.943360561798	7	1	
2760000	46.435521	1	0.000523196537	0.000350102330	0.996083552858	7	1	
2770000	40.655042	1	-0.015394350934	0.000495614316	0.982643727829	3	2	
2780000	42.146760	1	-0.042976552406	0.000710301437	0.996248245358	4	2	
2790000	40.503269	1	-0.111702884938	0.000396260644	0.953758731684	3	2	
2800000	44.825098	1	0.006379091555	0.000480439867	0.962746223228	7	0	
2810000	43.418505	1	-0.032184802066	0.000665010046	0.991532064527	2	2	
2820000	43.173770	1	-0.072086208129	0.000484215576	0.975284229382	4	2	
2830000	41.267365	1	0.097551643541	0.000412997569	0.939824325269	3	2	
2840000	37.120884	1	0.115831431836	0.001040723555	0.985233341149	6	0	
2850000	43.787549	1	-0.018289138807	0.000418726272	0.993896814011	5	2	
2860000	42.237488	1	-0.086652179330	0.000592092072	0.995861443740	2	2	
2870000	38.756786	1	-0.083423825754	0.000816458181	0.986479986410	3	1	
2880000	37.710485	1	0.122597599179	0.000564274414	0.976902968985	2	1	
2890000	43.183531	1	-0.028046854508	0.000593991683	0.956089286333	2	0	
2900000	46.474880	1	-0.020810526353	0.000325553927	0.995715860971	3	2	
2910000	43.359969	1	0.023588499826	0.000365339067	0.953303590896	7	0	
2920000	43.504983	1	0.079903306542	0.000424472420	0.986538938723	9	2	
2930000	46.501989	1	-0.054922764519	0.000395870941	0.996266309151	6	4	
2940000	43.829645	1	-0.035526352045	0.000240876985	0.902914745264	6	5	
2950000	44.153435	1	-0.067667279009	0.000632145981	0.979184063080	6	2	
2960000	39.970308	1	0.029333747870	0.000908999419	0.975861509217	3	1	
2970000	43.431044	1	-0.129155541341	0.000687385227	0.998684045715	4	1	
2980000	44.557353	1	-0.093881299703	0.000465730254	0.963244810747	4	0	
2990000	40.899168	1	-0.082978596888	0.000444357078	0.925640065484	6	0	
3000000	41.288522	1	0.015306106145	0.000669084001	0.991879612747	4	0	
3010000	39.256744	1	0.048198807011	0.000815829835	0.980378649983	5	0	
3020000	40.183300	1	0.082699731708	0.000485647007	0.941140285517	3	0	
3030000	45.273347	1	0.062913492865	0.000537561787	0.999369670407	4	2	
3040000	45.622812	1	0.021938918614	0.000641651948	0.989018801110	6	0	
3050000	43.325277	1	-0.068154474607	0.000595750433	0.976541883828	4	1	
3060000	41.921550	1	0.030596982327	0.000387163180	0.939065768514	4	1	
3070000	40.486402	1	0.101320826593	0.000257438401	0.914815186642	5	1	
3080000	45.588981	1	-0.111423965124	0.000386301111	0.981377753660	5	2	
3090000	41.939931	1	0.001746429001	0.000557096881	0.994801309944	1	1	
3100000	41.975001	1	-0.045332768606	0.000336209556	0.975266597345	3	1	
3110000	42.737366	1	0.016663899587	0.000570417372	0.975654620782	4	0	
3120000	41.977105	1	-0.074902231146	0.000318792203	0.946835951286	9	1	
3130000	44.129901	1	-0.082865889473	0.000579525664	0.999911958278	4	0	
3140000	44.146749	1	-0.107226135008	0.000404116997	0.956865196006	4	0	
3150000	39.291130	1	0.024760982239	0.000450686936	0.939846375679	4	1	
3160000	43.507226	1	0.068245434193	0.000441431741	0.912908966430	5	0	
3170000	43.369442	1	0.039186391136	0.000526563755	0.973142495123	5	2	
3180000	40.900591	1	0.082615010949	0.000736576287	0.994975159060	5	0	
3190000	39.755055	1	-0.014791911095	0.000300969387	0.984330780745	2	1	
3200000	46.777730	1	0.026648502848	0.000506220371	0.997603925209	5	1	
3210000	43.075181	1	-0.018994236915	0.000669755951	0.994610145453	3	2	
3220000	41.801583	1	-0.114968889140	0.000497210173	0.967076780540	1	0	
3230000	39.023215	1	-0.082412730774	0.000662843084	0.952746876971	6	1	
3240000	42.261065	1	-0.011554602552	0.000673474030	0.984437801244	3	0	
3250000	45.163146	1	0.023756616439	0.000375513370	0.999353907419	5	2	
3260000	42.123568	1	-0.063690738615	0.000584553224	0.981942168944	7	1	
3270000	50.470130	1	-0.115426102683	0.000223694057	0.946390378431	6	2	
3280000	45.158347	1	0.018141429993	0.000543670288	0.976964938086	3	0	
3290000	38.452721	1	0.070566757884	0.000410191276	0.898803400496	5	3	
3300000	43.687004	1	-0.015200435382	0.000431332398	0.962770833183	4	1	
3310000	40.975475	1	-0.124405711628	0.000533632787	0.985451684059	2	1	
3320000	45.143243	1	-0.027475090842	0.000312257376	0.963412676396	4	2	
3330000	43.723071	1	-0.032197200241	0.000419453747	0.967944768873	4	0	
3340000	40.718738	1	-0.139186517415	0.000539923387	0.986574182764	4	0	
3350000	42.866265	1	-0.059037663789	0.000721788712	0.995828354680	8	0	
3360000	43.384704	1	-0.056053404826	0.000482127634	0.996580513186	6	0	
3370000	40.037851	1	-0.085209387223	0.000781700068	0.975852091727	4	1	
3380000	37.324976	1	0.040220800545	0.001093807040	0.985437990578	1	0	
3390000	41.330184	1	0.062428348190	0.000637805828	0.993937891619	2	2	
3400000	42.089869	1	-0.056363225873	0.000459130900	0.985239680118	4	0	
3410000	44.355296	1	-0.041877889475	0.000399487695	0.962998694040	4	1	
3420000	42.488426	1	-0.005658472414	0.000461948721	0.971399119779	2	1	
3430000	43.199914	1	-0.027232770287	0.000431657876	0.964504485244	2	2	
3440000	44.602226	1	0.040160116227	0.000446233169	0.959084498880	5	2	
3450000	44.775955	1	0.085361314987	0.000489152645	0.944901032518	4	1	
3460000	41.992294	1	-0.084687818300	0.000432971967	0.977943870158	2	2	
3470000	41.253056	1	0.014459943862	0.000468809135	0.976304631563	6	1	
3480000	42.512795	1	0.120360114906	0.000625176332	0.996541322942	9	0	
3490000	44.146459	1	-0.077673335369	0.000555427785	0.994487339019	7	1	
3500000	46.980671	1	0.020114207700	0.000431191734	0.993067983272	9	1	
3510000	49.877510	1	-0.018124134853	0.000274091365	0.977832930769	4	4	
3520000	45.055373	1	-0.023316274980	0.000381041797	0.968151541270	2	1	
