name_in_tree,taxon,clade,mass
Archaeonectrus_rostratus,Archaeonectrus rostratus,Rhomaleosauridae,250
Attenborosaurus_conybeari,Attenborosaurus conybeari,Pliosauridae,644
Atychodracon_megacephalus,Atychodracon megacephalus,Rhomaleosauridae,1040
Avalonnectes_arturi,Avalonnectes arturi,Rhomaleosauridae,111
Brachauchenius_lucasi,Brachauchenius lucasi,Thalassophonea,1610
Callawayasaurus_colombiensis,Callawayasaurus colombiensis,Elasmosauridae,2303
Colymbosaurus_megadeirus,Colymbosaurus megadeirus,Cryptoclididae,1293
Eoplesiosaurus_antiquior,Eoplesiosaurus antiquior,Plesiosauroidea,126
Eretmosaurus_rugosus,Eretmosaurus rugosus,Plesiosauroidea,320
Hauffiosaurus_longirostris,Hauffiosaurus longirostris,Pliosauridae,2175
Hauffiosaurus_zanoni,Hauffiosaurus zanoni,Pliosauridae,241
Kaiwhekea_katiki,Kaiwhekea katiki,Elasmosauridae,1933
Lindwurmia_thiuda,Lindwurmia thiuda,Plesiosauria,125
Microcleidus_brachypterygius,Microcleidus brachypterygius,Microcleididae,92
Microcleidus_homalospondylus,Microcleidus homalospondylus,Microcleididae,644
Plesiosaurus_dolichodeirus,Plesiosaurus dolichodeirus,Plesiosauroidea,122
Rhomaleosaurus_zetlandicus,Rhomaleosaurus zetlandicus,Rhomaleosauridae,1529
Styxosaurus_rezaci,Styxosaurus rezaci,Elasmosauridae,10387
Thalassiodracon_hawkinsii,Thalassiodracon hawkinsii,Pliosauridae,40
Trinacromerum_bentonianum,Trinacromerum bentonianum,Polycotylidae,1332
Wapuskanectes_betsynichollsae,Wapuskanectes betsynichollsae,Elasmosauridae,1285
Rhomaleosaurus_cramptoni,Rhomaleosaurus cramptoni,Rhomaleosauridae,2752
Libonectes_morgani,Libonectes morgani,Elasmosauridae,658
Rhomaleosaurus_thorntoni,Rhomaleosaurus thorntoni,Rhomaleosauridae,2921
Dolichorhynchops_herschelensis,Dolichorhynchops herschelensis,Polycotylidae,320
Eopolycotylus_rankini,Eopolycotylus rankini,Polycotylidae,702
Fluvionectes_sagecrensis,Fluvionectes sagecrensis,Elasmosauridae,348
Futabasaurus_suzukii,Futabasaurus suzukii,Elasmosauridae,1845
Jucha_squalea,Jucha squalea,Elasmosauridae,1363
Leptocleidus_superstes,Leptocleidus superstes,Leptocleididae,217
Makhaira_rossica,Makhaira rossica,Thalassophonea,857
Muraenosaurus_leedsii,Muraenosaurus leedsii,Cryptoclididae,1215
Nakonanectes_bradti,Nakonanectes bradti,Elasmosauridae,1347
Ophthalmothule_cryostea,Ophthalmothule cryostea,Cryptoclididae,641
Palmulasaurus_quadratus,Palmulasaurus quadratus,Polycotylidae,589
Pantosaurus_striatus,Pantosaurus striatus,Cryptoclididae,593
Picrocleidus_beloclis,Picrocleidus beloclis,Cryptoclididae,154
Pliosaurus_andrewsi,Pliosaurus andrewsi,Thalassophonea,1562
Dolichorhynchops_tropicensis,Scalamagnus tropicensis,Polycotylidae,315
Thililua_longicollis,Thililua longicollis,Polycotylidae,1308
Tricleidus_seeleyi,Tricleidus seeleyi,Cryptoclididae,209
Westphaliasaurus_simonsensii,Westphaliasaurus simonsensii,Plesiosuaroidea,542
