taxon,clade,mass
Abyssosaurus_nataliae,Cryptoclididae,1238
Acostasaurus_pavachoquensis,Thalassophonea,NA
Albertonectes_vanderveldei,Elasmosauridae,3107
Alexandronectes_zealandiensis,Elasmosauridae,NA
Anningasaura_lymense,Plesiosauria,NA
Aphrosaurus_furlongi,Elasmosauridae,1216
Archaeonectrus_rostratus,Rhomaleosauridae,250
Aristonectes_parvidens,Elasmosauridae,NA
Aristonectes_quiriquinensis,Elasmosauridae,4166
Attenborosaurus_conybeari,Pliosauridae,644
Atychodracon_megacephalus,Rhomaleosauridae,1040
Augustasaurus_hagdorni,non-Plesiosauria,NA
Avalonnectes_arturi,Rhomaleosauridae,111
Bobosaurus_forojuliensis,non-Plesiosauria,NA
Borealonectes_russelli,Rhomaleosauridae,NA
Brachauchenius_lucasi,Thalassophonea,1610
Brachauchenius_MNA_V9433,Thalassophonea,3868
Brancasaurus_brancai,Leptocleidia,NA
Callawayasaurus_colombiensis,Elasmosauridae,2303
Cardiocorax_mukulu,Elasmosauridae,1433
Chubutinectes_carmeloi,Elasmosauridae,NA
Colymbosaurus_megadeirus,Cryptoclididae,1293
Cryptoclidus_eurymerus,Cryptoclididae,360
Djupedalia_engeri,Cryptoclididae,NA
Dolichorhynchops_bonneri,Polycotylidae,1272
Dolichorhynchops_herschelensis,Polycotylidae,320
Dolichorhynchops_osborni,Polycotylidae,425
Dolichorhynchops_ROM_29010,Polycotylidae,NA
Dolichorhynchops_tropicensis,Polycotylidae,315
Edgarosaurus_muddi,Polycotylidae,503
Elasmosaurus_platyurus,Elasmosauridae,3134.220899
Eoplesiosaurus_antiquior,Plesiosauroidea,126
Eopolycotylus_rankini,Polycotylidae,702
Eretmosaurus_rugosus,Plesiosauroidea,320
Eromangasaurus_australis,Elasmosauridae,NA
Eurycleidus_arcuatus,Rhomaleosauridae,633
Fluvionectes_sagecrensis,Elasmosauridae,348
Futabasaurus_suzukii,Elasmosauridae,1845
Gallardosaurus_iturraldei,Thalassophonea,NA
Georgiasaurus_penzensis,Polycotylidae,NA
Gronausaurus_wegneri,Leptocleidia,349
Hastanectes_valdensis,Leptocleididae,NA
Hauffiosaurus_longirostris,Pliosauridae,2175
Hauffiosaurus_tomistomimus,Pliosauridae,NA
Hauffiosaurus_zanoni,Pliosauridae,241
Hydrotherosaurus_alexandrae,Elasmosauridae,1877
