name in tree,taxon,SKL/neck,neck/trunk,cervical
absent1,"""Monquirasaurus"" boyacensis",2.698237885,0.30166113,11
absent2,Serpentisuchops pfisterae,0.377358491,,32
absent3,Plesionectes longicollum,,1.662162162,43
Abyssosaurus_nataliae,Abyssosaurus nataliae,0.106685633,1.517539126,51
Albertonectes_vanderveldei,Albertonectes vanderveldei,,3.234013605,75
Archaeonectrus_rostratus,Archaeonectrus rostratus,0.688235294,0.87628866,26
Aristonectes_quiriquinensis,Aristonectes quiriquinensis,0.213927577,1.294626758,43
Attenborosaurus_conybeari,Attenborosaurus conybeari,0.238140417,1.573134328,38
Atychodracon_megacephalus,Atychodracon megacephalus,0.532867133,1.025089606,30
Brachauchenius_lucasi,Brachauchenius lucasi,1.633597884,0.412663755,13
Brancasaurus_brancai,Brancasaurus brancai,0.199209486,1.505952381,37
Callawayasaurus_colombiensis,Callawayasaurus colombiensis,0.089135858,2.129951691,58
Cryptoclidus_eurymerus,Cryptoclidus eurymerus,0.25,1.041482789,32
Dolichorhynchops_bonneri,Martinectes bonneri,,0.493042952,19
Dolichorhynchops_osborni,Dolichorhynchops osborni,0.850746269,0.56779661,19
Edgarosaurus_muddi,Edgarosaurus muddi,0.475,,26
Eoplesiosaurus_antiquior,Eoplesiosaurus antiquior,,1.571614583,38
Hauffiosaurus_tomistomimus,Hauffiosaurus tomistomimus,0.318518519,1,34
Hydrotherosaurus_alexandrae,Hydrotherosaurus alexandrae,0.073754991,2.52065678,60
Kaiwhekea_katiki,Kaiwhekea katiki,0.201298701,1.579487179,43
Kronosaurus_MCZ_1285,Kronosaurus queenslandicus,1.70496261,0.406915629,13
Libonectes_morgani,Libonectes morgani,0.079565682,,62
Liopleurodon_ferox,Liopleurodon ferox,0.976146789,0.559548255,22
Luskhan_itilensis,Luskhan itilensis,1.581151832,0.52646086,15
Macroplata_tenuiceps,Macroplata tenuiceps,0.502814259,0.912671233,26
Manemergus_anguirostris,Manemergus anguirostris,0.427927928,,25
Vegasaurus_molyi,Vegasaurus molyi,,2.158415842,54
Mauriciosaurus_fernandezi,Mauriciosaurus fernandezi,0.882352941,0.75170068,21
Meyerasaurus_victor,Meyerasaurus victor,0.452876377,0.742727273,30
Microcleidus_brachypterygius,Microcleidus brachypterygius,0.170875421,1.72173913,36
Microcleidus_homalospondylus,Microcleidus homalospondylus,0.14,1.492537313,40
Microcleidus_tournemirensis,Microcleidus tournemirensis,0.123517787,2.167023555,43
Muraenosaurus_leedsii,Muraenosaurus leedsii,0.122516556,1.715909091,44
Nakonanectes_bradti,Nakonanectes bradti,0.149545455,,42
Nichollssaura_borealis,Nichollssaura borealis,0.38125,0.731428571,24
Ophthalmothule_cryostea,Ophthalmothule cryostea,0.09061619,,50
Peloneustes_philarchus,Peloneustes philarchus,1.020512821,0.544692737,21
Plesiopterys_wildi,Plesiopterys wildi,0.173913043,1.283847981,39
Plesiosaurus_dolichodeirus,Plesiosaurus dolichodeirus,0.169565217,1.513157895,37
Polycotylus_latipinnis,Polycotylus latipinnis,,0.727777778,26
Rhomaleosaurus_cramptoni,Rhomaleosaurus cramptoni,0.531328321,0.906818182,28
Rhomaleosaurus_zetlandicus,Rhomaleosaurus zetlandicus,0.430416069,1.026509573,28
Sachicasaurus_vitae,Sachicasaurus vitae,2.179930796,0.306225166,12
Seeleyosaurus_guilelmiimperatoris,Seeleyosaurus guilelmiimperatoris,0.141579732,1.427659574,35
Simolestes_vorax,Simolestes vorax,0.623134328,,21
Colymbosaurus_megadeirus,Colymbosaurus megadeirus,,1.176470588,41
Stenorhynchosaurus_munozi,Stenorhynchosaurus munozi,1.275797373,0.51324025,17
Styxosaurus_SDSM_451,Styxosaurus SDSM 451,0.066985646,2.616861436,61
Styxosaurus_browni,Styxosaurus browni,0.071122536,,63
Styxosaurus_rezaci,Styxosaurus rezaci,0.070551714,2.047082611,63
Thalassiodracon_hawkinsii,Thalassiodracon hawkinsii,0.276422764,1.182692308,31
Thalassomedon_haningtoni,Thalassomedon haningtoni,0.07767286,2.042301711,62
Thaumatodracon_wiedenrothi,Thaumatodracon wiedenrothi,0.522022838,,27
Thililua_longicollis,Thililua longicollis,0.363036304,,30
Tricleidus_seeleyi,Tricleidus seeleyi,0.305882353,,27
Trinacromerum_bentonianum,Trinacromerum bentonianum,1.056830601,0.532906232,20
